Gene,P,Number of variants
TEKT1,0.444181875,4
FAM193B,0.444234397,3
APTX,0.444316708,4
SLC39A2,0.444361232,4
FCRL4,0.444476442,15
LRRIQ3,0.444494606,6
CEP97,0.444548073,5
CYP2C19,0.444556367,5
NUP43,0.444629554,4
MLXIP,0.444648554,7
PAQR4,0.444649138,3
NFAT5,0.444698148,8
GCLC,0.444778501,5
ZNF14,0.444838567,6
DENND1B,0.444950117,3
FBXW7,0.444951193,3
PCDHB10,0.445178193,5
CWC22,0.445267981,3
PPAPDC3,0.445318279,3
OR5J2,0.445392582,4
PRR11,0.445465468,6
PTCRA,0.445614469,2
C12orf57,0.44562875,2
SPINK1,0.445692532,2
TOM1L2,0.445878569,4
HDAC10,0.446060017,7
RBM27,0.446132925,2
PROL1,0.446158789,7
C14orf38,0.446222377,3
DLG4,0.4462477,2
MYO1B,0.446287787,4
ZNF559,0.446386068,8
PLEKHN1,0.446421438,16
ZNF585A,0.446620828,3
BARX2,0.446644932,2
GNRHR,0.44673575,4
OR52B2,0.446746267,8
RBFOX1,0.446780912,4
LMCD1,0.446804743,9
CERS4,0.446908162,4
FBXO38,0.446997459,6
ZNF365,0.447043523,6
FADS6,0.447074487,4
RSPH6A,0.447192782,14
PTX4,0.447408187,12
N4BP2,0.447563283,15
OR5W2,0.447630902,2
B3GALTL,0.447680036,3
SLC39A14,0.447825225,2
C19orf59,0.447828583,7
SUCNR1,0.447896603,2
GLIPR1L1,0.447978128,4
GPR116,0.447983424,10
METAP1D,0.44822851,4
TEX15,0.44823655,31
TTF2,0.448269943,17
SLC5A11,0.448290027,7
S100A6,0.448296808,5
VPREB1,0.44831535,3
LRTM2,0.448461993,4
ATP8B3,0.4485143,11
AIP,0.448630819,4
PAQR3,0.448633727,6
SSRP1,0.448838034,2
SF3B2,0.449097001,4
AAR2,0.449099307,4
FXYD5,0.449208515,2
AP4B1,0.449339127,5
BBS5,0.449366929,4
GPR52,0.449415408,3
IL32,0.449593414,3
C17orf47,0.449597611,7
TREH,0.449603295,7
TOP1MT,0.449695647,18
NR1H2,0.449721081,5
RNF150,0.449753361,3
TMC6,0.449804235,13
OTUD7A,0.449870025,3
ATAD2B,0.449879219,6
SZT2-AS1,0.449892043,2
SBNO2,0.449941132,6
ABCC3,0.449975249,14
TBX10,0.450059678,2
CLPB,0.450080686,8
MPL,0.450199222,11
TDRD7,0.450221786,15
ZNF358,0.450316789,3
C5orf20,0.45038087,3
OR1I1,0.45039341,7
CDK3,0.450434827,3
XKR9,0.450564979,4
EXT1,0.450659671,6
GPR160,0.450719798,2
THSD7A,0.45072147,10
MTHFSD,0.4507232,8
SNX2,0.450737933,2
SYNE3,0.450848135,15
GPR113,0.450876908,15
DPF3,0.450888996,3
MAP7D1,0.451254486,10
CEBPZ,0.451336018,6
MGAT4B,0.451380698,3
PLK1S1,0.451382046,8
EGLN2,0.451383002,2
FAP,0.451620432,9
AAMP,0.451706138,3
FLVCR1,0.451723025,3
EML2,0.45180534,5
IFT88,0.451966803,5
INHBA,0.452061842,2
GRM1,0.452123086,4
OCA2,0.452137072,17
ZNF221,0.452305631,11
TAGLN,0.452351881,3
KIAA1383,0.452461932,15
LINGO1,0.452511466,5
SCN4B,0.452633835,2
RPL3,0.453052928,2
DDX17,0.453108246,4
C2orf57,0.453168402,6
NDUFAF5,0.453181078,3
PDZD3,0.453195163,8
CHST5,0.453325355,4
TNKS,0.453486025,7
UGT1A4,0.453540565,15
BLID,0.453596949,2
OR6C3,0.453612802,3
PANX3,0.453899863,4
GP6,0.453983308,6
C8B,0.453989702,11
PCDHGB7,0.454108346,33
NEO1,0.454293054,10
SYNPR,0.454313733,2
FAT2,0.454334295,41
LINGO4,0.45434674,4
FOXN1,0.454434079,4
TAS2R4,0.45465619,4
ECI1,0.454699804,7
HPGDS,0.454794625,3
HDHD2,0.454906592,5
LOXL4,0.454959371,16
KIAA0556,0.455179073,23
DOPEY1,0.455287844,14
CLEC10A,0.455323142,4
RASAL1,0.455340967,9
GFI1B,0.455459426,5
SLC26A11,0.455488385,12
ADRB2,0.455540889,2
PIAS3,0.455545305,4
ZNF780B,0.455674079,5
NLRP1,0.455699174,21
BHLHE40,0.455720966,3
GSDMD,0.455824396,8
FAM151B,0.45582902,5
MUC12,0.455863004,6
ARVCF,0.455879722,13
BCAS4,0.455881178,6
MS4A14,0.455956413,8
STARD9,0.456158813,15
TRMT5,0.456239574,4
FAM73A,0.456244229,3
RAB3D,0.456299175,2
PHF20L1,0.456351496,4
FAM187B,0.456354627,10
SCN7A,0.456404107,16
USP20,0.456461233,11
MMRN2,0.456638424,7
ZNF443,0.456665518,2
RNF212,0.456697938,4
BMP5,0.456710467,4
PLEKHG6,0.456831728,14
OCIAD1,0.456890581,3
DEFB110,0.456936311,2
EPHB1,0.456957792,11
MTERFD3,0.457127547,4
QTRTD1,0.457192412,10
PTPN14,0.457299592,14
OR4D6,0.457301576,8
PSMD13,0.457365452,6
PAX5,0.457395248,2
IQCJ,0.457447656,3
QRSL1,0.457457392,2
TSPAN1,0.457511419,4
TRPM1,0.45765319,18
FAM26E,0.457701257,3
TTC39B,0.457717837,8
BMP7,0.457788531,4
RNLS,0.457819447,4
HYAL3,0.457841295,11
ATP2A2,0.457942207,4
ZNF528,0.458025478,7
EFNA4,0.458417058,5
SLC25A10,0.458503424,4
CDC42EP3,0.458517048,4
EGR2,0.458652964,3
C8orf37,0.458818373,3
MARK1,0.4588355,5
FGG,0.458870959,3
SAMD8,0.458877469,4
ZBED6,0.458909245,2
TPCN1,0.458919481,9
MAD1L1,0.458951815,7
PHF15,0.45897849,4
KLRC4,0.45901382,2
PCDHGB1,0.459109451,97
SGK1,0.459216981,2
ARNT,0.459234518,5
EPS8,0.459357668,6
TTC23,0.459528162,9
RBM12B,0.459665894,8
SV2B,0.459826023,10
UEVLD,0.459845751,4
CAPN9,0.459885385,16
APOL4,0.460082826,7
MTMR12,0.46026896,5
FER1L6-AS1,0.46028437,3
MSS51,0.460324203,4
PLXDC1,0.460335619,6
ENTPD5,0.460496137,5
MBOAT2,0.46084931,2
NPC1,0.460968484,16
DAGLA,0.460998501,3
ZBTB39,0.461024564,5
ANGPTL4,0.461024664,6
ZFP3,0.461052698,2
NCR1,0.461057195,3
DSC1,0.461224853,11
MTUS1,0.461358147,27
ZNF148,0.461362009,2
PM20D1,0.461405943,5
RCBTB1,0.461413839,4
TSC1,0.461451008,6
NPFFR2,0.461461717,8
SLC7A7,0.461473628,8
GPR137C,0.461509339,2
GARS,0.461548141,4
RNFT2,0.461684171,2
ANKRD45,0.461948013,4
IRX6,0.46198516,7
CCDC88B,0.462058361,13
GIMAP6,0.462171335,8
GPR17,0.462260749,12
SLC44A5,0.46227969,2
TSSC1,0.462425385,2
NPAS4,0.462469595,3
KAT6B,0.462511368,10
TMEM168,0.462685581,5
COQ4,0.462849957,2
ABCC2,0.462915364,23
PRDM5,0.462943644,2
GPRC5A,0.462994592,4
THSD1,0.463007653,4
SPTY2D1,0.463025181,9
TAAR9,0.46333189,3
JPH3,0.463333026,10
CCDC62,0.463474607,5
PARD3,0.463521221,8
C9orf139,0.463585108,10
UCP1,0.4636773,2
CCNG2,0.463729202,2
DDC,0.463775471,4
OR4A15,0.463802925,5
TMEM133,0.46380523,3
NOB1,0.463962585,3
ATP10D,0.464012334,15
MOCS2,0.464087125,2
ANK3,0.464147209,29
SLC25A30,0.464156812,2
ADRBK2,0.464208566,5
SLC45A2,0.464239288,8
GPATCH8,0.464292454,12
EPN2,0.46452212,5
CRP,0.464531028,2
CELA1,0.464590973,2
CDC6,0.464645015,3
CACNA1E,0.46480303,11
RC3H1,0.464900953,2
SPG7,0.465016854,4
C8orf34,0.465049151,2
TBC1D5,0.465147141,11
XPO6,0.465168076,2
DNALI1,0.465231226,3
TM2D2,0.465474975,2
PROM2,0.465498567,12
RBM12,0.465502017,7
BEND4,0.465549665,3
SLC11A2,0.465605272,4
C10orf131,0.465647634,3
C12orf66,0.465788607,4
SOX5,0.465790065,4
CHMP4A,0.465917208,2
PRSS58,0.46593713,2
FLG-AS1,0.465968926,103
C3orf26,0.466138797,12
C10orf76,0.466143694,2
UPK1A,0.466198787,3
ANKRD13B,0.466419602,2
ELF5,0.466420417,3
CHST4,0.466465584,3
VASH2,0.466512741,2
DYNC1I2,0.466722588,2
PAK4,0.466744015,3
FGGY,0.466781904,7
DNLZ,0.466974701,5
TARSL2,0.467072875,7
GPC1,0.467346615,7
TCF20,0.46741548,17
ARHGDIG,0.467482891,7
NUMBL,0.467486653,3
LMBRD2,0.467535763,3
OR5AU1,0.467578077,9
AHCTF1,0.467624301,6
HOXD11,0.467653911,2
FCRL3,0.467662676,12
UBE2U,0.467684756,2
OR8D2,0.467686346,4
PLCL2,0.467731957,4
MRVI1,0.467763254,10
ADNP,0.467786557,7
XKR5,0.467884445,5
CNNM3,0.467965208,3
RIOK3,0.468013895,6
CREB3L4,0.468041503,9
DOC2A,0.46807866,5
TBRG4,0.468663891,5
ZDHHC23,0.468716394,5
CEP85L,0.46879495,3
ARAP1,0.468844402,13
NNT,0.468974281,3
C1orf64,0.469134424,3
OR11H6,0.46943476,2
ANGPT4,0.469439494,5
TAF1A,0.469473545,2
LARS,0.469644075,6
LMTK2,0.469651693,13
GJD4,0.469692061,2
KRCC1,0.469736984,4
RTKN2,0.469957886,5
USP6,0.469977174,8
OR1K1,0.46998436,5
CCDC63,0.470057915,10
CCDC168,0.470097948,6
KHDC1,0.470288181,2
PAPD4,0.470395031,3
PDGFB,0.470513491,2
TRPM8,0.470546441,10
SLC15A3,0.470552528,10
SOS2,0.470557467,10
TBRG1,0.470580251,4
ATP10B,0.470695244,21
NPC2,0.470779616,4
DISP2,0.47089077,9
DAPL1,0.470935267,4
MRPS22,0.470952545,4
LAMA4,0.470971575,17
CEL,0.471058658,3
GUCY2C,0.471199865,7
ZNF621,0.471200816,3
CLTCL1,0.471201489,21
FAM53A,0.471205621,8
CASZ1,0.471220631,16
RANBP2,0.471280293,12
SLCO4A1,0.471327687,6
PTPN22,0.471362968,10
RGS1,0.471429727,2
NCKAP1L,0.471515434,8
MBOAT4,0.471559073,4
CYP4A11,0.471612223,3
NEFL,0.471701723,2
SIN3A,0.471769309,6
RTN4R,0.471875123,4
RHOBTB2,0.471908805,6
TRIM42,0.471944897,11
DGAT2,0.471982179,2
NFX1,0.472093546,14
SRMS,0.472094317,4
MARVELD2,0.472115019,5
OR52M1,0.472193187,10
CD82,0.472329181,6
BRF2,0.472473631,2
HEMK1,0.472556013,4
HPN,0.472612959,6
CACNA2D1,0.472682931,3
DDHD2,0.472785644,8
FABP12,0.472811799,2
LSM10,0.472821196,2
GZMM,0.472879687,6
CSMD1,0.47304028,30
CECR1,0.473171958,9
GPR144,0.473287848,9
NSL1,0.47329324,2
CEP41,0.473330509,4
GPR162,0.473340468,9
SYNC,0.473390485,2
HECTD1,0.47340081,10
LZTS1,0.473468538,6
LNX1,0.473528862,13
KIT,0.473532086,7
KIAA1239,0.473565866,3
SHROOM3,0.473623251,20
DHX58,0.473717232,9
MSTO1,0.473885842,5
TMEM144,0.473889788,5
ZFC3H1,0.474278488,4
LAG3,0.474319312,6
TPTE,0.474326322,3
DFNB59,0.474329076,6
TSEN54,0.474413937,5
TAOK1,0.474418824,2
C11orf30,0.474495669,7
ACOXL,0.474596954,5
HSDL1,0.474647696,3
HMHA1,0.474658125,7
PCDHA6,0.474885675,34
TAS2R7,0.474886021,4
TMCO4,0.474949891,13
RADIL,0.474963095,16
CARTPT,0.474968353,2
PSMG1,0.474983166,4
SYNPO,0.475025943,4
AADACL3,0.475083799,4
ARGLU1,0.47508523,2
IVD,0.475161803,4
C14orf43,0.475322683,9
AKR7A2,0.475343583,3
GPRC6A,0.475392145,6
MTMR7,0.475398248,6
BGLAP,0.475440166,2
MYOD1,0.475445604,2
CPB1,0.475596801,9
OR9G4,0.475661273,4
OR4K14,0.475806137,4
MFAP2,0.475875473,2
SAMD9,0.476058545,10
IFNAR1,0.476167598,10
OR6M1,0.476206075,7
GNAT2,0.476251926,2
DEFB119,0.476498916,8
NCOR2,0.476554465,22
TANC2,0.476566647,11
ARSK,0.476581982,4
PF4V1,0.476889451,3
SEZ6L,0.477036813,9
CCDC84,0.477144061,4
KIAA1109,0.47719806,20
TECTA,0.477307761,20
SERF2,0.477435225,5
C15orf54,0.477458943,4
UROD,0.477617264,4
SAA2-SAA4,0.477622381,4
SAA4,0.477622381,4
PSMD1,0.477735343,11
PSIP1,0.477876036,2
TTPAL,0.477946238,3
CSTF2T,0.478211186,4
TCF23,0.478337488,2
MAP3K9,0.478386757,14
CDKL4,0.47844139,3
AGXT2,0.478458964,10
GBX1,0.478466163,3
NIN,0.478543346,20
ZNF695,0.478594422,3
ANO9,0.478745935,8
ATP1B2,0.478800539,2
C1R,0.478808645,7
MCCC1,0.479015023,17
PRKD3,0.479086059,6
C22orf13,0.479215652,2
RNF112,0.479238623,6
SLC2A10,0.479268839,7
NCAM1,0.479291409,15
ADAMTS2,0.479329382,16
RGS3,0.479346981,15
CDS1,0.479368102,3
ZNHIT2,0.479449012,2
SCML4,0.479519631,4
LRRC4,0.479529999,2
OOEP,0.479545423,3
WDR60,0.479560473,10
RAD9B,0.479563212,8
HGS,0.479668599,4
VAV2,0.479736738,7
LIPJ,0.479744123,2
ASB17,0.479766787,3
KIAA1407,0.479894414,12
PTPRD,0.479977412,19
RBM5,0.47998918,3
CEP250,0.47998993,22
WARS2,0.480010857,6
RIF1,0.480050831,32
NME4,0.480153696,6
ALDH1L2,0.480162087,9
C12orf45,0.480175288,6
CENPC1,0.480288012,6
SCYL1,0.480291245,5
NENF,0.480303318,3
NOL9,0.480428101,4
NRXN3,0.48075925,6
DEFB132,0.481029835,3
GRM8,0.481070656,7
TMEM246,0.48121037,2
DNAJB11,0.481215221,2
OR2M2,0.481224005,2
AADAC,0.481477521,3
CCDC140,0.481511716,2
IREB2,0.481517833,6
SIK2,0.481575019,4
TEFM,0.481580987,2
GIGYF2,0.481675436,11
REEP2,0.482052619,3
CCDC39,0.48205427,18
LRRC8C,0.48207884,4
ANKRD11,0.482092518,17
MAMDC2,0.482146922,7
WDR12,0.48229289,5
PSMC5,0.482432635,3
RNASE4,0.482467183,4
DTX4,0.482483394,7
RTEL1-TNFRSF6B,0.482621204,22
C9orf3,0.482702253,10
ZFP2,0.48272241,4
ST8SIA2,0.483223071,3
FCN1,0.483253264,4
TEAD1,0.483307209,3
MFSD2B,0.483328424,8
PHF14,0.483385593,2
SKIV2L2,0.483398003,3
FNBP1L,0.483483554,2
PTPRG,0.483593458,15
SUCO,0.483677278,5
C19orf52,0.483754407,2
ADD3,0.483917647,6
HOTTIP,0.483941961,2
HOXA13,0.483941961,2
CHCHD5,0.483995349,2
TXNDC15,0.48422252,2
CA9,0.484293975,2
FIP1L1,0.484300375,22
YTHDF2,0.484330735,2
ARHGAP44,0.484390249,4
FEZ1,0.484405226,2
IARS,0.484474208,18
LAX1,0.484606252,6
SV2C,0.484776738,7
MICAL1,0.484838111,15
GRM7,0.484893345,6
PITX1,0.484896193,2
PDCD6,0.484904808,2
ATP12A,0.485024648,18
TMEM171,0.48505291,6
OR10A3,0.485068998,5
PADI4,0.485083493,10
MAPRE1,0.485127923,2
OR2D2,0.485153098,8
CEP95,0.485188085,6
GLCE,0.485385218,4
USP10,0.485490235,3
GRIA1,0.485597454,4
SBK2,0.485632876,3
PLXND1,0.48567183,17
SHE,0.485793515,3
AGR3,0.485799313,2
ARHGEF26,0.485891604,6
CNTRL,0.485938705,20
SRPK2,0.485939275,7
SPRED1,0.486056336,3
ZNF568,0.486064271,3
AVPR1A,0.486143187,3
POP4,0.486237533,4
TGM3,0.486238123,6
PPP1R9B,0.486278962,5
SSTR1,0.486295101,2
TMEM116,0.486329144,3
ART1,0.486346882,4
MSH6,0.486420833,6
DUSP22,0.486583239,6
SNX17,0.486586551,3
NTAN1,0.486633489,2
URGCP,0.48665374,4
APBA1,0.48671389,2
SETD3,0.486767535,7
ZC3H13,0.486816917,14
ADIG,0.486863536,2
C12orf71,0.486931281,3
ZNF44,0.487017576,4
ETAA1,0.487034616,8
NUP107,0.487179251,6
HTR2A,0.487250544,2
CACNA2D4,0.487306478,27
FBXO17,0.487315918,7
SARS2,0.487315918,7
SLC30A9,0.48731653,3
PKD2,0.487517159,4
TLE4,0.487622619,2
UCN2,0.487903292,3
ZBTB40,0.487931352,6
FBP1,0.488018675,2
KIAA1598,0.488056821,4
TMEM115,0.488224011,3
NDUFB8,0.488379114,4
HTR3C,0.488417361,6
HKR1,0.488424558,5
KCNAB2,0.488669744,2
EMILIN1,0.48870537,11
TTC29,0.488735127,9
GPA33,0.488773376,4
CLK1,0.48877665,3
P4HA3,0.488816845,9
ABLIM3,0.488826728,11
PHOSPHO2,0.488836499,4
OR1B1,0.488887064,4
SIRT2,0.489040774,9
NLRP8,0.489069808,20
ITGB1BP1,0.489077584,3
NEXN,0.489088524,4
IQCJ-SCHIP1,0.489139132,5
ACTR8,0.489139611,2
OR6C76,0.489167331,4
MKI67,0.489169428,29
TM9SF2,0.489412211,2
DYDC2,0.489519565,5
EDNRB,0.489565813,3
ELOVL3,0.489607981,4
DHX37,0.489627951,17
CEACAM1,0.489687765,3
C6orf226,0.489780479,3
ARMC2,0.490028822,5
TROVE2,0.490060985,2
TM7SF2,0.490223006,5
FIS1,0.490232563,2
MICAL2,0.490251554,15
SLC45A4,0.490507385,11
EHD4,0.490541243,2
METTL9,0.490563227,3
FER1L5,0.49060376,9
ARHGEF37,0.490709027,8
ARHGEF25,0.490718746,4
CXXC11,0.490812038,6
SYNPO2L,0.490824571,4
PARP10,0.49087028,13
CUX1,0.490949539,9
SNX19,0.490970986,4
SLC27A3,0.490999624,19
OR2T6,0.491022415,7
B4GALNT2,0.491207539,8
XPO5,0.491326631,8
CNOT10,0.491386178,3
XKR8,0.491454334,3
DAGLB,0.491537582,16
C6,0.491566288,18
CDC42EP1,0.491586489,3
FOXI1,0.491588517,4
TMTC1,0.491640297,3
CHST11,0.49168109,2
PTCHD4,0.49170875,4
DHX35,0.491797119,11
TTC4,0.491797259,2
TOP3B,0.49191314,8
ERBB2,0.491966449,12
ACSM2A,0.492173404,3
CAMSAP2,0.492412149,7
TRAPPC9,0.492469501,16
TMIGD2,0.492555729,4
ZNF189,0.492600017,5
OLFM4,0.492736794,5
PYGB,0.492781101,10
RBM14,0.492856396,4
RBM14-RBM4,0.492856396,4
C19orf21,0.492921343,13
DYRK1B,0.492924802,2
TACC3,0.492926185,7
AK7,0.492983995,6
PCDHA4,0.492988541,39
CLEC1B,0.493027994,8
NAAA,0.493065304,9
HMOX1,0.493081027,5
MRPS11,0.493097642,4
SEMG2,0.49322707,8
SLC27A4,0.493452418,7
UBE2L6,0.493527093,3
CPNE6,0.493606387,3
ATP7B,0.493712657,19
PRKAB1,0.493774128,3
FOLR4,0.493928251,4
ZNF295,0.493931838,7
BCL10,0.494044995,2
SLC6A20,0.494101413,9
USP43,0.494153719,8
CABP5,0.494181072,5
KCNJ15,0.494201545,3
HHLA2,0.494205445,2
CD1C,0.494303529,8
OR1C1,0.494325603,4
PIGX,0.494512075,13
SCEL,0.494520293,5
TSKU,0.4946524,4
TLE2,0.49465716,3
CDH26,0.494663302,15
FAM166A,0.494664388,7
SPECC1L,0.494699297,12
ORC2,0.494750602,2
CCDC69,0.494804661,8
GDF2,0.494834459,2
ZNF433,0.494861154,5
SLC6A9,0.494879255,11
C14orf79,0.494929888,5
PPP2R3C,0.494946102,3
ISYNA1,0.495081421,3
SPATA20,0.495188052,10
GJB6,0.495331213,2
LRRD1,0.495341186,4
MRPL46,0.495354618,5
KLF12,0.49537328,2
ETFB,0.49574825,4
HAUS6,0.495754185,8
GMIP,0.495912351,12
RNF32,0.496104593,8
LENG1,0.496242511,6
GCH1,0.4963324,3
CARD16,0.496369331,11
SDCBP,0.496370653,2
ZNF230,0.49644712,10
HIF1A,0.496452208,5
SAMD15,0.49645724,7
EVPL,0.496567733,20
CAV2,0.496609454,2
PITPNM1,0.496703101,8
ALG10B,0.496815464,3
ANXA13,0.496873153,5
ZSWIM5,0.496946145,7
CLINT1,0.496952753,4
TCP11L1,0.497054866,3
NR5A1,0.497068963,2
PSG3,0.497070757,2
PRODH,0.49720289,6
SSTR3,0.49722997,7
PCBD2,0.497235545,3
ZNF23,0.497304462,7
COL3A1,0.497433958,7
AATF,0.497435305,7
CIZ1,0.497573296,7
FAM177A1,0.497605917,2
EPN3,0.497668486,5
GPT2,0.497696273,4
VSIG2,0.497807739,5
CRTAM,0.497986552,2
IFNK,0.498041499,4
MOB3B,0.498041499,4
AGAP2,0.498056024,2
USH1C,0.498183174,16
KIAA0391,0.498232556,4
PPP1R1C,0.498271446,2
EDAR,0.498277592,2
SRCIN1,0.498284478,4
DSCR3,0.498285599,5
PPP2R4,0.498316808,2
PPM1H,0.498351121,3
FGF19,0.498420991,3
MS4A7,0.498440954,2
C2orf54,0.49849693,7
FAM132A,0.498532815,5
MIA3,0.498591812,17
ADAR,0.498605096,6
PMPCA,0.498647768,3
ADAM19,0.498649249,16
SLC43A3,0.498686982,5
OBFC1,0.49881216,2
PCDHGA10,0.498820166,34
ANO8,0.498869914,4
WNT16,0.499146011,3
ZNF660,0.499388415,6
CCDC34,0.499464863,5
MANSC4,0.499534416,2
TRIOBP,0.499619419,32
AMBP,0.499716093,7
WFIKKN2,0.499783239,5
PRDM6,0.49979181,2
TYSND1,0.500235974,4
INO80E,0.500249033,4
KRTAP13-4,0.500259699,3
MAGEL2,0.500283278,4
OR5M10,0.50030423,2
PTPRO,0.500350733,6
UIMC1,0.50036362,8
TMEM161A,0.500522249,4
GOLGB1,0.50052952,24
OMA1,0.500561277,5
ACSL5,0.500584194,3
DDRGK1,0.500593882,3
RAD23A,0.500800928,4
METTL3,0.500850408,3
CDH19,0.500865357,6
MLX,0.50090079,3
STOX2,0.500919274,9
LRRC10,0.500992802,2
MSRA,0.500996392,4
SMG1,0.501008686,6
ZNF267,0.501011435,2
CYP2A13,0.501019118,2
LIF,0.501304693,2
ST3GAL4,0.50142076,7
BLM,0.501515973,12
ZDBF2,0.501526252,23
SCAMP2,0.501680314,6
NT5C1B,0.501695481,9
ACVR2B,0.501731884,2
EIF6,0.501805222,5
ANP32C,0.501814301,3
NLK,0.501881899,2
KIAA1033,0.501935574,6
MUC7,0.502257515,6
SETMAR,0.502259371,8
TSC22D2,0.502347388,2
GRTP1,0.502391905,7
SLC26A5,0.502397975,3
GOLGA5,0.502498977,3
ASB14,0.502502808,6
GATA4,0.502560639,4
MSTN,0.50256479,2
ARHGEF10L,0.502606978,13
FAM81A,0.502716804,2
PDILT,0.502719986,12
ARHGAP18,0.502767247,3
SLC9A9,0.502850987,2
DAP3,0.502888302,2
CNTNAP5,0.502944048,11
RP1L1,0.50298313,49
PTGFRN,0.50320159,5
HBE1,0.50323738,53
MORN3,0.503412039,4
LRRK1,0.503458739,17
GFM2,0.503509397,7
ABHD4,0.503587239,3
SHC2,0.503628455,7
MRPS10,0.503786069,4
MCM3AP-AS1,0.503794359,7
MYO1D,0.50387944,8
IL31,0.50398211,2
PSMD5,0.504001505,5
GFM1,0.504030672,10
CCR8,0.504046719,2
FAM124A,0.504047705,7
AOC2,0.50415083,15
ISLR,0.504320008,5
TAS2R5,0.504359035,4
TAS2R30,0.504502746,4
VHLL,0.5045394,4
APOBEC3D,0.50458331,3
PEG3,0.504583579,42
SLC51B,0.504667648,2
ABCC5,0.504736382,4
C18orf56,0.504746401,2
PIWIL4,0.50476461,7
CBLB,0.504920876,6
SLC22A14,0.504929608,11
C20orf27,0.504943409,2
DHRS2,0.505039808,13
TRMT10C,0.505059438,3
HRC,0.505068203,10
NEB,0.505089205,74
FBXO40,0.505123215,12
SLC4A3,0.50522718,11
TMEM41A,0.505228131,7
EPSTI1,0.505335484,6
ZNF154,0.505475264,4
LRRC6,0.505552123,8
AQP5,0.505572576,4
ALDH16A1,0.505597296,11
GMPR,0.505622957,3
TMEM63A,0.505734249,7
IGFLR1,0.505794843,7
VEGFA,0.505988894,3
FCGRT,0.505992089,3
DAB1,0.506007963,8
SPINK5,0.506100371,13
FTSJ3,0.506243531,11
MIB1,0.506272258,9
OR4D10,0.506372158,3
PERP,0.50653313,3
MYO3A,0.50661363,11
DDX27,0.506747279,5
RSAD1,0.506854108,6
SLC24A2,0.506862727,4
MTHFD1L,0.50698599,6
ZNF883,0.50710219,5
IFT27,0.507127116,4
CASP5,0.507142949,12
STX17,0.507189134,5
FAM134C,0.507204751,4
ADORA2A,0.507224596,5
C22orf45,0.507224596,5
INPP5B,0.507233268,5
RANBP17,0.507329,16
VILL,0.507329302,11
ZNF434,0.507391036,14
ASB6,0.507417438,4
EBNA1BP2,0.50744176,8
CCL14,0.507464892,8
CCL15,0.507464892,8
RICTOR,0.507471822,9
ALDOB,0.507596821,9
ZG16,0.507643657,2
LIG3,0.507776286,8
MPHOSPH10,0.50778431,4
TDG,0.507838507,3
APOL2,0.507976415,5
BCMO1,0.508111409,7
PIK3CG,0.508116359,6
LRBA,0.508195751,31
MINA,0.508335413,7
NPFF,0.508351886,3
SYCN,0.508353493,2
NUP133,0.508737265,8
HNRPDL,0.508901486,3
ZSCAN21,0.508929289,7
CCDC138,0.509123822,12
OR5B2,0.509232702,5
HTR3D,0.509320103,4
LRTM1,0.509325856,4
ZNF469,0.509405468,9
GAS7,0.509413937,3
FGD5-AS1,0.509503669,2
ZNF518A,0.509522766,5
IGFBP5,0.509645807,4
ANKRD22,0.50974133,2
ARL6IP5,0.509886212,2
ABCB5,0.509899067,19
SPATA5,0.509938531,7
YBX2,0.509958339,2
RRP12,0.510001759,16
LRRC32,0.510080957,6
OR56A1,0.510128836,2
MRPS28,0.510174406,3
TMA16,0.510368621,4
NCAPG,0.510416819,7
ANG,0.510454229,2
TMPPE,0.51046175,3
PTPRCAP,0.510495883,2
MYCN,0.510535333,2
LIN9,0.510569044,3
HIPK3,0.510571053,12
ELP2,0.510605887,6
OBP2B,0.510793674,2
PLEKHG3,0.51080134,14
MUCL1,0.510829493,2
SLC9C1,0.510879398,11
CDCA8,0.510965378,2
NUP155,0.511077313,8
PACRGL,0.511079625,2
SYF2,0.511164751,2
C6orf163,0.511286907,2
TSPAN9,0.511420899,2
LRRC33,0.511525499,9
RBM33,0.511553797,7
PRPF19,0.511601423,2
EPHA4,0.511651768,4
ORM2,0.511761624,4
FBXO25,0.511915344,2
SFTPC,0.511919512,4
BCAP29,0.511945456,2
OR5K4,0.512079457,4
NLN,0.512084286,7
MANEA,0.512160323,6
FSHR,0.512166221,3
PHLPP1,0.512292372,7
KAT5,0.51243883,2
RARA,0.512497528,2
C1orf56,0.512562314,2
DDX43,0.512570221,2
MRPS26,0.512613853,2
LARP7,0.512615513,4
ADAM12,0.512624659,8
TMEM241,0.512712953,8
HPD,0.51272371,5
KCTD18,0.512931443,8
MYOC,0.512980425,8
P2RY12,0.513017082,2
SLCO6A1,0.513035954,9
ADAMTS17,0.513123951,17
C20orf160,0.513146533,2
FAH,0.513216679,4
SLC15A2,0.513318671,5
TMEM66,0.513398288,4
GZMH,0.513478158,5
SLC22A13,0.513549903,8
RRP7B,0.513755306,4
CYP3A5,0.513804986,2
ZPLD1,0.513811943,2
PTCH1,0.513885553,10
C5orf42,0.513917915,10
RFWD3,0.51392329,4
SRGAP1,0.513934351,6
FANCF,0.51398385,3
NT5C3,0.513987867,2
FSTL4,0.514155123,12
GPR20,0.514229175,4
FTMT,0.514249557,2
CHFR,0.514517692,9
CA10,0.514782389,4
IL12B,0.514899078,4
TMEM184A,0.515009158,7
DDB1,0.515036859,5
AFP,0.515102178,3
