Gene,P,Number of variants
DCSTAMP,0.027155096,3
C16orf89,0.027185353,5
TNFRSF1B,0.027214821,6
EME1,0.027247855,13
NTRK3,0.027274427,4
PALLD,0.027301553,12
KLC1,0.027316212,5
TTBK2,0.027325609,8
SEMA6D,0.027334252,6
WDR81,0.027462395,12
FMN1,0.027475374,16
PKP1,0.027568702,10
FBXL21,0.027623107,4
RAB11FIP4,0.027773877,6
TNKS1BP1,0.027839659,14
DCLRE1C,0.027932075,2
UBN1,0.027980887,11
TPD52L1,0.028002119,2
MT1H,0.028063527,2
KIAA1324L,0.028183646,3
MFSD6,0.028221158,2
HEBP2,0.028377818,6
P2RX4,0.02847338,4
USP25,0.028476374,5
RPS6KA4,0.028542026,3
MARK4,0.028638817,11
CMTM4,0.028739564,3
TFCP2L1,0.028761565,4
FAHD1,0.028920643,4
ANAPC10,0.028947893,3
PXDN,0.028978104,9
ZCCHC11,0.029025822,4
OR8H1,0.029040612,2
PDGFRB,0.02907098,15
THRAP3,0.0290711,4
OR51Q1,0.029083074,4
TTLL12,0.029137704,12
CHN1,0.029171816,2
TEX36,0.029229915,2
TDRKH,0.0293452,2
OR4C3,0.029361504,6
RASSF7,0.029423599,6
SYTL3,0.029507716,5
AAAS,0.029577327,6
KXD1,0.029588956,2
RPS6KL1,0.029618655,7
SLC15A1,0.0296635,5
TNK1,0.029733677,7
IGF2BP3,0.02975245,2
STAMBPL1,0.029790583,4
MAP3K5,0.029937556,6
CAMK1,0.02997064,6
GOT1L1,0.030032876,7
ZNF213,0.030166714,2
COX14,0.030189006,5
CREM,0.030288597,2
AXDND1,0.030321589,12
SAMSN1,0.030335883,2
KRT5,0.030336605,6
PRDM4,0.030371564,8
SUCLG1,0.030439799,3
ZNF713,0.030448959,2
RNASEH2C,0.030663373,3
WDR5B,0.030776457,2
SIRPB2,0.030861418,5
NACA,0.030996334,8
FAM209A,0.031106099,4
ZFHX4,0.031117535,6
MCF2L,0.031175151,14
DNMBP,0.031240956,15
ZNF48,0.031293883,8
MYEF2,0.031409209,2
LIFR,0.031440218,9
ARF3,0.031735962,7
CCDC65,0.031735962,7
XIRP1,0.031807837,38
LRP2BP,0.032118457,2
GAS2L1,0.032120947,2
MECOM,0.032275286,7
OR6A2,0.032334343,7
PGS1,0.032406816,6
ATP6V1E1,0.032466246,2
PI4K2A,0.032500165,13
LY6K,0.032558367,4
LRRC34,0.032622272,5
NUP62,0.032654304,6
STAMBP,0.032878732,7
RARRES3,0.032950836,4
PRKCQ,0.033047708,6
SLC4A1,0.033095127,9
TARS2,0.033156251,4
ZNF804A,0.033237178,4
DSCC1,0.033395713,3
BAIAP2,0.033436434,5
YOD1,0.033602035,2
CCDC129,0.033695525,16
FYB,0.033769025,7
SMC1B,0.033962628,7
ZNF610,0.034094419,7
IL4I1,0.034212949,10
IFI27,0.034287063,2
TJP3,0.034302518,12
NOL8,0.034313253,12
LMF2,0.034388933,18
SACS,0.034424224,24
VCPIP1,0.03446659,6
SIGLECL1,0.034492692,3
COL13A1,0.03454404,5
FAM160A1,0.034559057,3
OAT,0.03479512,5
RPUSD2,0.034823525,5
IL5,0.034875603,2
ADAM15,0.035020179,11
PPIP5K1,0.035141041,4
ALOX12B,0.035164608,4
UNC79,0.035174541,10
LRRC15,0.035327856,11
PDE4C,0.035351106,7
CHMP6,0.035395605,2
PLCH2,0.035708186,5
MRPL19,0.035743366,5
LNPEP,0.036064204,3
EPS15,0.036105442,6
IFT81,0.036371996,4
CPEB1,0.036375945,5
ANGPTL7,0.03637643,7
GBGT1,0.036414232,12
PUM2,0.036501631,2
COCH,0.0365786,3
PHGDH,0.036675984,4
CDX2,0.036742027,3
SIRPG,0.036747228,4
MATN3,0.036779615,5
SRSF6,0.036786372,2
C20orf26,0.036839124,23
RXFP3,0.037258727,7
UNC119B,0.037264467,2
CNTROB,0.037328472,16
NDUFV3,0.037346097,6
PAWR,0.037349258,2
CUL2,0.037503784,2
DPYD,0.037515895,8
PPM1D,0.037635204,4
C17orf85,0.037661087,3
LPIN2,0.037904647,10
PSMD11,0.038038271,2
TCEA3,0.038057428,2
NOV,0.038073986,2
ERCC3,0.038245537,6
PIAS4,0.03834112,3
RDH14,0.038371104,2
AVPR1B,0.038377761,5
PSMF1,0.038387316,6
CCDC48,0.038438482,4
C8orf33,0.038467346,2
IL2RA,0.038503483,3
EMC1,0.038505799,8
SERPINB8,0.038635355,6
CCL22,0.038673028,2
C10orf62,0.038733509,4
WDFY3,0.038767378,14
PTPN12,0.038974845,6
STOX1,0.038974913,11
DCHS1,0.03915161,39
C15orf57,0.039405315,2
ZNF20,0.039455164,4
ZNF625,0.039455164,4
COG5,0.03950437,8
GPR157,0.039585907,5
TYRO3,0.039604455,10
ZNF83,0.039606696,5
CAND1,0.039676714,3
ARHGAP11A,0.039894692,5
NEURL4,0.040064142,13
IPO9,0.04006631,3
COL24A1,0.040172043,14
LECT2,0.040277619,6
FLNB-AS1,0.04031193,6
RTN4IP1,0.040463986,2
ZNF692,0.040566241,6
SYCP3,0.040760766,2
GSTM3,0.040760839,2
NIP7,0.040984339,2
SECTM1,0.041026899,2
FABP5,0.04107524,2
ATG9A,0.041152827,17
STEAP1B,0.041310142,2
C1orf116,0.041345257,15
PALMD,0.041390708,8
FPR1,0.041437744,4
FARS2,0.041518629,4
NF2,0.041667845,2
ATG2B,0.041692672,26
GALNT11,0.04175666,11
LCTL,0.041944241,11
DHODH,0.042095993,6
TAAR5,0.042112976,5
LGALS8,0.042127865,4
ALPI,0.042198579,7
NAV2,0.042271449,20
DES,0.042350525,6
TMEM219,0.042404178,2
KRT34,0.042435772,3
PPFIA1,0.042453618,12
PER1,0.042593008,11
SLC52A2,0.042832714,8
MELK,0.043050928,5
CHL1-AS1,0.043355907,3
LMOD2,0.043416763,4
VTCN1,0.043431494,2
TRIM58,0.04347222,4
SH3RF1,0.04349474,3
ASL,0.043592871,7
NAV3,0.043753945,13
FLG,0.043936113,48
SNX15,0.043966955,8
BRDT,0.043980586,6
ACYP2,0.04403608,8
DEPDC5,0.044218909,12
CCDC137,0.044251148,3
SERPINA10,0.044309813,6
ADPRHL2,0.044380524,3
NBEA,0.044583095,14
DOCK10,0.044659741,9
CD200R1L,0.044701493,3
CABYR,0.044751926,4
ROR2,0.044856544,8
OR5D14,0.045013543,4
KCP,0.045017796,13
MSGN1,0.045174731,2
PABPN1L,0.045283088,3
C20orf166,0.04536824,4
PROSER1,0.045483612,5
MAK16,0.045520834,4
LHX4,0.045553912,4
OR7D2,0.045648444,5
RSBN1L,0.045861465,3
GALNTL1,0.045992596,7
FGF22,0.046009655,2
PLSCR5,0.046071087,3
ALG11,0.046093778,5
ELMOD2,0.046133669,3
OR2F1,0.046236415,4
NARF,0.046326802,6
ZNF30,0.046340827,9
HEATR5B,0.046502003,8
ELSPBP1,0.046537721,2
CYP4F12,0.046705633,7
DOT1L,0.046788347,5
DCTN3,0.046826179,2
TRAF3IP1,0.047237002,7
SFRP4,0.047266884,7
SLC43A1,0.04737166,6
XRRA1,0.047380927,15
CREBBP,0.047427462,16
TELO2,0.047478432,10
MYO10,0.047481507,11
OR5P2,0.047577283,2
ABHD14B,0.047591559,4
C1QTNF6,0.047613553,2
MPRIP,0.04763855,5
BCL2A1,0.047650183,4
JSRP1,0.047659828,3
KCNAB3,0.047727177,5
LINGO2,0.047803967,2
MRI1,0.047807206,6
FAM214B,0.047877628,5
FGL2,0.048029992,3
REV3L,0.04805509,22
SLC25A40,0.048378312,4
SLC17A6,0.048533713,2
TMEM72,0.048608532,4
TMEM72-AS1,0.048608532,4
ZNF260,0.048637746,2
CHST12,0.048676138,3
MAML1,0.048697341,7
ACSM3,0.048736159,24
DNAH2,0.048860032,40
IFFO1,0.048884615,3
GIT1,0.049080836,5
THEG,0.049215744,12
SNTG1,0.049282895,7
LHX3,0.049324636,2
BCKDK,0.049343806,3
PTPN23,0.049394067,18
CHKB,0.04941845,3
VSTM2L,0.049418508,4
ETV4,0.049455861,4
GDF3,0.049726049,2
ITGA4,0.049738035,2
DNAJC1,0.04974723,2
UHRF1BP1L,0.049770636,9
SENP7,0.049791446,8
EMILIN2,0.049897075,9
ASAP3,0.049900473,15
IL17RB,0.04996203,9
ACSL3,0.049968322,4
C1orf51,0.04998176,5
SEC14L1,0.0500059,5
HOGA1,0.050008072,8
SNTG2,0.050012062,8
GINS2,0.050047526,3
SIGLEC10,0.050121666,6
ZNF236,0.050234485,8
OR51I1,0.050237519,4
KANK2,0.050248613,14
SMC5,0.050381949,7
CTNNB1,0.050448236,2
ZBTB41,0.050458383,5
CORO2A,0.050486661,12
EPB41L2,0.050547388,9
TSPAN10,0.050665572,4
TLR10,0.050861762,8
ZNF416,0.05089329,5
MORN1,0.050950974,9
KIAA1468,0.050963356,4
DGKZ,0.050996333,5
MCM2,0.051156782,9
BAZ2A,0.051185745,7
CTSW,0.051391953,9
BBS9,0.051455355,9
TTC38,0.051464311,8
DCUN1D4,0.051605124,2
PJA2,0.051904298,8
ZNF846,0.052103673,11
AP3D1,0.052204348,6
EMR3,0.052241695,8
WWC2,0.052242107,10
PAXIP1,0.052414431,3
DNER,0.052425645,7
SPEN,0.052460452,33
IFNB1,0.052560924,3
SLC6A16,0.052566571,11
AK5,0.052637992,4
SLC4A4,0.052925418,8
CASC4,0.052984718,2
IL28RA,0.053107976,2
BTC,0.053115185,5
ZNF699,0.053137502,9
ACP1,0.053199785,2
DMRT2,0.053231649,6
CLTA,0.053478316,2
GNE,0.053478316,2
MYADML2,0.053523435,3
EPB41L1,0.053801688,4
RBM4B,0.053885209,5
CENPF,0.05405883,21
UTP14C,0.054061385,9
ANKRD1,0.054064208,4
OSM,0.054084285,2
ADCY10,0.05414898,16
STRN,0.054266393,5
KDM4D,0.054296283,4
EPS8L3,0.054352652,6
RBL1,0.054406656,7
RIMBP2,0.054416545,7
CCDC64,0.054546951,2
SPHK2,0.054557606,6
KIAA1432,0.054660204,10
HECW1,0.054863624,9
KAZALD1,0.054879962,5
SPSB3,0.05494425,4
SPEF2,0.055241701,17
LRMP,0.055319244,5
EFTUD1,0.055322516,5
C11orf88,0.055457738,6
ZC3H12C,0.055558639,8
SETX,0.05556116,19
UBE3B,0.055593751,5
MMP9,0.055707975,3
C9orf152,0.055813012,2
CHTF18,0.055818205,26
BSPRY,0.055867463,6
PLA2G4A,0.055991066,2
YLPM1,0.056031278,5
PALB2,0.056110752,7
LEFTY1,0.056289237,3
PLEKHG1,0.056301261,17
SLC37A3,0.056310205,10
CCDC91,0.056355896,4
TDO2,0.056403951,8
SLC4A7,0.056418327,4
SERPINB3,0.056455292,2
FIGN,0.056556341,5
USP4,0.056573708,10
ZNF302,0.056606316,2
KCND2,0.056622653,2
CLC,0.056675524,4
COX17,0.056713894,4
TRMT10A,0.056726627,3
MRPL42,0.056792545,2
RASGEF1A,0.056877395,2
NPM2,0.056965215,4
ZNF572,0.056992386,8
LRRC49,0.05708499,7
ADIPOR2,0.057126716,2
SOX9,0.057133812,2
PODXL,0.057148281,6
SAP30BP,0.057305259,2
TLE3,0.057343774,3
PPP1R3A,0.057368329,13
AOX1,0.057491611,13
MED13L,0.057586531,9
DHX36,0.057676385,2
ELL,0.057812496,3
C7orf65,0.057942134,3
CPA5,0.057945509,8
YKT6,0.057992924,4
CENPP,0.058054909,22
CUEDC1,0.058164398,3
POLE2,0.058267994,4
EPN1,0.058317918,3
GON4L,0.05831943,6
CYTH4,0.058323512,8
COL6A2,0.058333772,31
BEST4,0.058464284,4
SEPT4,0.05847869,5
CNBD1,0.058513271,9
CPT1A,0.058668026,7
SLC25A47,0.058672734,4
SH2B1,0.058752176,3
EYA4,0.058812556,3
DTL,0.059091799,4
SLCO1A2,0.059108271,9
CTDSP1,0.059151135,2
MLLT4,0.059326179,17
EPDR1,0.05933146,15
GALNTL4,0.059366611,3
BCL9,0.059371695,8
PARP2,0.0594172,3
CHUK,0.059478971,2
CAPZA1,0.059490828,4
WDR18,0.059550293,3
RAVER2,0.059668401,2
CYB561,0.059698498,2
CHPT1,0.059812828,4
GPBP1,0.060007211,6
SEC24D,0.060023727,9
CD209,0.060196527,4
EP300,0.060206739,12
PTPN2,0.060436441,4
C11orf1,0.060467983,3
CEP170,0.06046846,3
CD8A,0.060518881,2
GIMAP5,0.060692588,6
ZNF219,0.060731282,5
ITLN1,0.060787003,4
ZNF844,0.060854265,3
PRMT10,0.060882041,11
ERV3-1,0.060950861,9
ZNF117,0.060950861,9
TAS1R1,0.060965671,18
ASTE1,0.061052549,5
RASGRF1,0.061175151,6
PRR16,0.061180935,3
PPP2R5B,0.061198495,3
CLEC2A,0.061202153,2
HPS3,0.061231552,7
KIAA1715,0.061266392,6
RFFL,0.06157895,3
LDLRAD1,0.061850077,2
ABCF3,0.062013139,6
FHL2,0.062064244,3
ZNF362,0.062082998,2
NKAIN1,0.062333679,3
RINT1,0.06238181,7
SV2A,0.062424438,2
UST,0.062434468,2
ST3GAL1,0.062606531,2
EXOC4,0.062608896,5
PRUNE,0.062615417,4
SSPN,0.062617747,2
AKR1C2,0.062637761,2
C14orf2,0.062648187,2
VSTM4,0.062685295,5
